iter	RMSE
266	9.424118959
267	9.419286796
268	9.417195396
269	9.411074733
270	9.407158409
271	9.399988987
272	9.399220713
273	9.393697789
274	9.392430564
275	9.385758024
276	9.384559325
277	9.383918568
278	9.382755696
279	9.378911766
280	9.378154435
281	9.374475016
282	9.373989737
283	9.369016598
284	9.360914997
285	9.354652618
286	9.353453539
287	9.352408559
288	9.34334004
289	9.342278656
290	9.335068297
291	9.331063555
292	9.327325973
293	9.321886255
294	9.317325256
295	9.31328251
296	9.306090931
297	9.29693191
298	9.296218248
299	9.295674413
300	9.290957807
301	9.290519428
302	9.288567332
303	9.282856207
304	9.281957697
305	9.277138961
306	9.274431585
307	9.267026952
308	9.266385536
309	9.262427768
310	9.261644156
311	9.257827033
312	9.254726386
313	9.251811402
314	9.251203027
315	9.249359417
316	9.240830272
317	9.240244026
318	9.239724218
319	9.239231249
320	9.231457647
321	9.227667808
322	9.223917079
323	9.222859792
324	9.22184047
325	9.219396507
326	9.213064646
327	9.212483595
328	9.208127044
329	9.207591636
330	9.204955051
331	9.195741402
332	9.190399434
333	9.182502692
334	9.182128114
335	9.170799846
336	9.170106268
337	9.165770253
338	9.165411491
339	9.164973192
340	9.161612095
341	9.152969412
342	9.147373652
343	9.146516719
344	9.140903519
345	9.133656814
346	9.130428271
347	9.130088611
348	9.120723732
349	9.118088756
350	9.114443806
351	9.10962018
352	9.103997008
353	9.10191271
354	9.098303022
355	9.096562207
356	9.093506322
357	9.091398443
358	9.088703175
359	9.081226606
360	9.080770696
361	9.077916138
362	9.077466555
363	9.076641897
364	9.071930029
365	9.067029174
366	9.061398458
367	9.059486193
368	9.056811504
369	9.053680676
370	9.050702189
371	9.04913059
372	9.046024878
373	9.034363106
374	9.027570193
375	9.01949362
376	9.009011057
377	9.007498094
378	9.001456471
379	8.999171995
380	8.993190202
381	8.990479861
382	8.986176321
383	8.985818666
384	8.985429891
385	8.978087431
386	8.977307421
387	8.974756052
388	8.970316918
389	8.963468878
390	8.961117572
391	8.960693068
392	8.955854504
393	8.952145808
394	8.946034644
395	8.942157935
396	8.941834216
397	8.941428872
398	8.937536758
399	8.931946806
400	8.928704667
401	8.928355193
402	8.925419822
403	8.923975869
404	8.920027602
405	8.914127162
406	8.908246401
407	8.901545016
408	8.901149298
409	8.900413966
410	8.895962126
411	8.894684754
412	8.892106359
413	8.884607584
414	8.879091955
415	8.874501618
416	8.874049507
417	8.867646797
418	8.865318856
419	8.864958918
420	8.862671505
421	8.860531487
422	8.858330141
423	8.857618038
424	8.855060474
425	8.852888294
426	8.85248428
427	8.846349191
428	8.846059363
429	8.842094332
430	8.841103399
431	8.840381888
432	8.839483642
433	8.838808958
434	8.834596249
435	8.833952037
436	8.82595788
437	8.821939815
438	8.819041128
439	8.814031148
440	8.80694762
441	8.802447384
442	8.801462076
443	8.797642739
444	8.793759343
445	8.792475287
446	8.787370025
447	8.782213765
448	8.775599212
449	8.771514542
450	8.768915575
451	8.760199744
452	8.759957178
453	8.756646943
454	8.754882639
455	8.749021634
456	8.743694121
457	8.7398948
458	8.733991551
459	8.733688538
460	8.73044567
461	8.726401217
462	8.720886769
463	8.72065742
464	8.715283638
465	8.71162213
466	8.711296286
467	8.707872872
468	8.704606714
469	8.702631176
470	8.700129877
471	8.698607649
472	8.698177647
473	8.696197951
474	8.694245619
475	8.69399562
476	8.687229296
477	8.68372034
478	8.680950427
479	8.675851169
480	8.672339474
481	8.665619984
482	8.66444993
483	8.66255277
484	8.662280031
485	8.660478656
486	8.658130633
487	8.652069443
488	8.647731556
489	8.646772016
490	8.639699793
491	8.639375034
492	8.63906205
493	8.638485708
494	8.638209288
495	8.637917967
496	8.634950706
497	8.630391338
498	8.628277223
499	8.625575064
500	8.620728478
501	8.617771474
502	8.616944073
503	8.612744916
504	8.608259225
505	8.607722077
506	8.600462388
507	8.597461219
508	8.596664016
509	8.591921146
510	8.590222548
511	8.586745434
512	8.58557467
513	8.585301
514	8.58439831
515	8.576615004
516	8.575210733
517	8.568436732
518	8.565969024
519	8.563134412
520	8.560669509
521	8.559498828
522	8.559241832
523	8.557493151
524	8.555179643
525	8.551484465
526	8.550981976
527	8.550478394
528	8.547614036
529	8.545342832
530	8.545073611
531	8.542911002
532	8.536865767
533	8.5350324
534	8.534807524
535	8.534581708
536	8.531322484
537	8.531082019
538	8.530877095
539	8.529252559
540	8.525632047
541	8.524112163
542	8.522771413
543	8.517926048
544	8.517721021
545	8.516428758
546	8.516259075
547	8.515224855
548	8.514769743
549	8.512662919
550	8.512412167
551	8.50990159
552	8.505954525
553	8.499389818
554	8.495708768
555	8.491754246
556	8.491561233
557	8.489047786
558	8.485122181
559	8.48297425
560	8.480007746
561	8.479783054
562	8.477038553
563	8.475504181
564	8.473895321
565	8.472683982
566	8.472507595
567	8.469646517
568	8.469427056
569	8.469207613
570	8.467713847
571	8.467025415
572	8.462655863
573	8.461764618
574	8.461560482
575	8.45828692
576	8.454517685
577	8.453136042
578	8.451295618
579	8.448569352
580	8.444117641
581	8.441932024
582	8.441305272
583	8.438957839
584	8.438756262
585	8.436349423
586	8.434255848
587	8.433234435
588	8.431438264
589	8.430012016
590	8.426950117
591	8.425344644
592	8.421815623
593	8.418175271
594	8.418005461
595	8.417809404
596	8.413891584
597	8.412205088
598	8.412025573
599	8.411113813
600	8.410957637
601	8.408175796
602	8.405652956
603	8.404333846
604	8.400296779
605	8.397596136
606	8.397412344
607	8.392036296
608	8.390534123
609	8.389156173
610	8.386839321
611	8.383999609
612	8.380832737
613	8.379834925
614	8.379659062
615	8.379475951
616	8.378093621
617	8.376770852
618	8.375701864
619	8.371442277
620	8.370417169
621	8.369558604
622	8.368364696
623	8.368218567
624	8.366096515
625	8.36591217
626	8.362505862
627	8.359401513
628	8.356543104
629	8.356406073
630	8.3546726
631	8.349302247
632	8.344475748
633	8.339782647
634	8.337872572
635	8.33771037
636	8.333533891
637	8.329954311
638	8.3257195
639	8.325569655
640	8.323032358
641	8.319255207
642	8.315756993
643	8.31478567
644	8.313334015
645	8.313112419
646	8.312932324
647	8.310553208
648	8.30810603
649	8.307203242
650	8.307019014
651	8.306867385
652	8.306722147
653	8.30390635
654	8.302708826
655	8.301550559
656	8.295734821
657	8.293117889
658	8.291184661
659	8.288359257
660	8.285901382
661	8.282601284
662	8.282456323
663	8.281640989
664	8.281061016
665	8.277084971
666	8.276925688
667	8.275239123
668	8.275101487
669	8.27352513
670	8.270533241
671	8.268785729
672	8.267727973
673	8.265396944
674	8.263035099
675	8.260269218
676	8.260123954
677	8.259976941
678	8.259852225
679	8.256947548
680	8.25582189
681	8.252418787
682	8.252289057
683	8.252094239
684	8.247406375
685	8.247247455
686	8.24631594
687	8.242855039
688	8.240110122
689	8.238701174
690	8.237841187
691	8.23769165
692	8.236205388
693	8.235079912
694	8.233748861
695	8.228650866
696	8.225793399
697	8.221410541
698	8.219619362
699	8.21803555
700	8.215659504
701	8.215529303
702	8.214328564
703	8.214190651
704	8.210377672
705	8.209113259
706	8.207008384
707	8.202780147
708	8.19884147
709	8.193397622
710	8.190963433
711	8.188528025
712	8.186833742
713	8.184727638
714	8.184611028
715	8.182668257
716	8.181262122
717	8.179400402
718	8.176711642
719	8.175376675
720	8.174799158
721	8.170458711
722	8.165765812
723	8.164336266
724	8.161353056
725	8.159560278
726	8.159425401
727	8.159149821
728	8.159032756
729	8.157599903
730	8.154106008
731	8.152824406
732	8.149243692
733	8.148539601
734	8.148212262
735	8.148105703
736	8.144973997
737	8.142605627
738	8.142059283
739	8.141567842
740	8.139994114
741	8.138239097
742	8.136666361
743	8.132933075
744	8.131571226
745	8.130646451
746	8.130542126
747	8.128458795
748	8.124145586
749	8.12402522
750	8.121970906
751	8.121478023
752	8.119094726
753	8.115264958
754	8.111818259
755	8.111688036
756	8.110552423
757	8.109336829
758	8.107542421
759	8.10485376
760	8.104510326
761	8.104421292
762	8.102484811
763	8.102359588
764	8.100800785
765	8.098666901
766	8.096029583
767	8.095919251
768	8.095816812
769	8.095718783
770	8.09471274
771	8.093630892
772	8.093092908
773	8.091442005
774	8.090006026
775	8.087634908
776	8.086651619
777	8.082721838
778	8.082630182
779	8.081940763
780	8.077501463
781	8.074646479
782	8.073591643
783	8.070820719
784	8.068363233
785	8.068264987
786	8.066811942
787	8.065700616
788	8.065185872
789	8.060057718
790	8.058691817
791	8.054759984
792	8.049850648
793	8.04972815
794	8.045370786
795	8.04438275
796	8.043203151
797	8.042108444
798	8.042012023
799	8.040912064
800	8.037966288
801	8.035476653
802	8.033207025
803	8.032411656
804	8.032161479
805	8.031261601
806	8.028039915
807	8.027846008
808	8.02493725
809	8.02354128
810	8.021568058
811	8.021109165
812	8.017297877
813	8.014885432
814	8.013390075
815	8.008290816
816	8.007950257
817	8.006638442
818	8.006544012
819	8.006092593
820	8.001767722
821	7.999581465
822	7.999466235
823	7.998139508
824	7.997155192
825	7.997052035
826	7.99694953
827	7.995859395
828	7.994350619
829	7.994262225
830	7.993570379
831	7.991879546
832	7.989106028
833	7.98553992
834	7.980948212
835	7.976976099
836	7.974695537
837	7.974596446
838	7.97371307
839	7.97292728
840	7.971966521
841	7.971868259
842	7.971751835
843	7.970900606
844	7.968301629
845	7.967441492
846	7.965397349
847	7.96237498
848	7.958626718
849	7.958547512
850	7.958462086
851	7.954886513
852	7.95480986
853	7.951353323
854	7.949662635
855	7.949348663
856	7.948533622
857	7.947158603
858	7.942561712
859	7.941231504
860	7.939509928
861	7.937253365
862	7.935548831
863	7.935276904
864	7.934217787
865	7.933824181
866	7.93303165
867	7.929007643
868	7.926589011
869	7.925191011
870	7.922201432
871	7.92083719
872	7.920745622
873	7.920655145
874	7.920195446
875	7.918617558
876	7.916123848
877	7.913298462
878	7.912816165
879	7.911784003
880	7.911098375
881	7.910721122
882	7.91062097
883	7.909324327
884	7.908976451
885	7.908013199
886	7.905974753
887	7.902186431
888	7.901556986
889	7.901469115
890	7.901400096
891	7.90087988
892	7.897872164
893	7.897788619
894	7.896929166
895	7.895750215
896	7.892226227
897	7.891276029
898	7.889386977
899	7.888394119
900	7.887968373
901	7.88451004
902	7.882422849
903	7.881377947
904	7.878279602
905	7.875275573
906	7.875194406
907	7.873855342
908	7.873494051
909	7.870876885
910	7.869264897
911	7.868859453
912	7.866447043
913	7.865299619
914	7.862854803
915	7.859493192
916	7.858748637
917	7.857913593
918	7.85737247
919	7.854998941
920	7.854323588
921	7.852103051
922	7.85115774
923	7.850794424
924	7.848612386
925	7.846286466
926	7.846189639
927	7.845260281
928	7.843492624
929	7.840596114
930	7.839595236
931	7.838254212
932	7.837163725
933	7.836215658
934	7.835332292
935	7.833586373
936	7.833512713
937	7.832544377
938	7.831984096
939	7.831192142
940	7.830689348
941	7.827982201
942	7.826139091
943	7.824391854
944	7.822606362
945	7.821743836
946	7.820974252
947	7.820227817
948	7.819488295
949	7.817976106
950	7.817904255
951	7.815397304
952	7.81466981
953	7.813725596
954	7.813659648
955	7.810732776
956	7.809253005
957	7.808151207
958	7.806727479
959	7.80631943
960	7.804131162
961	7.801465246
962	7.79827333
963	7.795207728
964	7.793049464
965	7.789328655
966	7.788565615
967	7.78637946
968	7.786037938
969	7.785967248
970	7.78325287
971	7.783184936
972	7.781726276
973	7.780685186
974	7.778472494
975	7.777410065
976	7.777326339
977	7.773573596
978	7.772517842
979	7.771275021
980	7.769456101
981	7.768637122
982	7.768569935
983	7.76720206
984	7.765366786
985	7.765290035
986	7.763690713
987	7.762906828
988	7.761414189
989	7.759167683
990	7.75595339
991	7.754955016
992	7.753366443
993	7.75196994
994	7.750865829
995	7.750790252
996	7.750725382
997	7.749363165
998	7.7479804
999	7.745266382
