iter	RMSE
0	14.1888164
1	13.95844327
2	13.75887625
3	13.55010729
4	13.36261211
5	13.19325601
6	13.05127882
7	12.89052444
8	12.78702259
9	12.64999733
10	12.5299939
11	12.43276663
12	12.30788814
13	12.18944225
14	12.08751675
15	12.00760776
16	11.92175599
17	11.84062497
18	11.76928087
19	11.69528903
20	11.61639769
21	11.57040897
22	11.50696332
23	11.43905192
24	11.38033503
25	11.32014341
26	11.28204592
27	11.23914106
28	11.19027546
29	11.15688518
30	11.11749796
31	11.07244442
32	11.03624415
33	11.00360779
34	10.97346715
35	10.94435946
36	10.90549516
37	10.86936632
38	10.84779207
39	10.82792171
40	10.81241409
41	10.7863861
42	10.76604029
43	10.74176694
44	10.72212977
45	10.69586581
46	10.67486303
47	10.65845931
48	10.64806644
49	10.62264257
50	10.60334588
51	10.59953563
52	10.58853804
53	10.57744845
54	10.56423342
55	10.54638606
56	10.53772509
57	10.51535041
58	10.50623006
59	10.49401947
60	10.4831412
61	10.47652605
62	10.46543374
63	10.45597202
64	10.4465038
65	10.43931715
66	10.42602389
67	10.42037458
68	10.41558378
69	10.40757761
70	10.39586708
71	10.38672397
72	10.37716401
73	10.36760622
74	10.36030779
75	10.35512547
76	10.35112653
77	10.34243377
78	10.33658843
79	10.32247259
80	10.31511252
81	10.30801251
82	10.29528162
83	10.28914704
84	10.27368002
85	10.264199
86	10.25872414
87	10.2541311
88	10.24257763
89	10.23616143
90	10.23105932
91	10.22679752
92	10.21761856
93	10.2116781
94	10.20467891
95	10.19211654
96	10.18879261
97	10.18343363
98	10.18011305
99	10.16854603
100	10.16258931
101	10.15810715
102	10.15342767
103	10.1483009
104	10.14478853
105	10.14214844
106	10.13928244
107	10.13484259
108	10.13064104
109	10.11891362
110	10.11644842
111	10.11120272
112	10.10424915
113	10.09199093
114	10.0890187
115	10.08365191
116	10.0796137
117	10.07579948
118	10.07311534
119	10.06890963
120	10.06291296
121	10.04110661
122	10.03838111
123	10.0378484
124	10.03715884
125	10.03447727
126	10.02830582
127	10.02433533
128	10.02240379
129	10.01924636
130	10.0157417
131	10.01323429
132	10.01052239
133	10.00302057
134	9.999321692
135	9.99671879
136	9.990422254
137	9.987849963
138	9.983231199
139	9.965723005
140	9.962027746
141	9.956911143
142	9.955431309
143	9.944862378
144	9.942332983
145	9.940051292
146	9.938316213
147	9.934891105
148	9.930907951
149	9.924543406
150	9.909712721
151	9.907551809
152	9.906227867
153	9.904795343
154	9.896526389
155	9.890463278
156	9.883390221
157	9.88121846
158	9.879136757
159	9.876619679
160	9.87276548
161	9.870957236
162	9.868341462
163	9.865262101
164	9.858231653
165	9.854412699
166	9.851801484
167	9.848692848
168	9.848440414
169	9.843546266
170	9.83892144
171	9.827585628
172	9.824188348
173	9.819506995
174	9.816663509
175	9.8070733
176	9.797484817
177	9.792283302
178	9.789460782
179	9.785779571
180	9.780508461
181	9.779653599
182	9.77880805
183	9.774630202
184	9.76792983
185	9.764844803
186	9.76236781
187	9.761055204
188	9.757236612
189	9.756040068
190	9.754172891
191	9.750204867
192	9.737321119
193	9.735368465
194	9.73422066
195	9.729217723
196	9.718617633
197	9.708529472
198	9.70665065
199	9.69675853
200	9.693573709
201	9.686854104
202	9.677394585
203	9.674391729
204	9.671978996
205	9.66760952
206	9.656184825
207	9.654848209
208	9.653620709
209	9.650850022
210	9.644079786
211	9.640065349
212	9.635661104
213	9.63155177
214	9.626620121
215	9.62526873
216	9.617460817
217	9.615173719
218	9.614248587
219	9.610925691
220	9.608321487
221	9.60665357
222	9.605484689
223	9.596913092
224	9.587812573
225	9.58678392
226	9.585346182
227	9.5828655
228	9.579082032
229	9.566262268
230	9.561176521
231	9.556106965
232	9.55518021
233	9.544594
234	9.542024968
235	9.541018572
236	9.53010204
237	9.52562031
238	9.517996268
239	9.507898731
240	9.504209793
241	9.501238526
242	9.497168174
243	9.496204214
244	9.495286776
245	9.491582989
246	9.490831423
247	9.485319786
248	9.481623756
249	9.478886281
250	9.477443295
251	9.474046834
252	9.468870776
253	9.461551337
254	9.460737237
255	9.454336507
256	9.453533058
257	9.452116946
258	9.450716425
259	9.446369954
260	9.442790115
261	9.441547223
262	9.43200156
263	9.430565943
264	9.429297719
265	9.424910417
